출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1762 :  30  29  30  30  29* 29  30  29  30  29  30  30 : 384(29)
1763 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1764 :  30  29  30  30  29  30  29  30  29  29  30  29 : 354
1765 :  30  29* 30  29  30  29  30  30  29  29  30  29 : 384(30)
1766 :  30  29  30  29  30  30  29  30  29  30  30  29 : 355
1767 :  29  30  29  30  29  30  29* 30  29  30  30  29 : 384(30)
1768 :  29  30  29  30  29  29  30  30  29  30  30  30 : 355
1769 :  29  30  29  29  29  30  29  30  29  30  30  30 : 354
1770 :  29  30  30  29  29* 30  29  30  29  30  30  30 : 384(29)
1771 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1772 :  29  30  30  29  30  29  29  30  29  30  29  30 : 354
1773 :  29  30  30* 30  30  29  29  30  29  30  29  30 : 384(29)
1774 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
1775 :  30  29  30  29  30  29  30  30  29  30* 30  29 : 384(29)
1776 :  30  29  30  29  29  30  30  29  30  30  29  30 : 355
1777 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1778 :  30  29  29  30  29  30* 30  29  30  30  30  29 : 384(29)
1779 :  30  29  30  29  29  30  29  30  29  30  30  29 : 354
1780 :  30  30  29  30  29  29  30  29  30  29  30  29 : 354
1781 :  30  30  30  29  30* 29  30  29  30  29  30  29 : 384(29)
1782 :  30  30  29  30  29  30  29  30  29  30  29  30 : 355
1783 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
1784 :  30  29  30* 30  29  30  30  29  30  29  30  29 : 384(29)
1785 :  30  29  30  29  29  30  30  29  30  30  29  30 : 355
1786 :  29  30  29  29  30  29  30* 30  30  30  29  30 : 384(29)
1787 :  29  30  29  29  30  29  30  29  30  29  30  30 : 354
1788 :  30  29  30  29  30  29  29  29  30  30  29  30 : 354
1789 :  30  30  29  30  29* 30  29  30  29  30  29  30 : 384(29)
1790 :  30  29  30  30  29  29  30  29  30  29  30  29 : 354
1791 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
1792 :  29  30  29  30* 30  30  29  30  29  30  29  30 : 384(29)
1793 :  29  30  29  29  30  30  29  30  30  29  30  29 : 354
1794 :  30  29  29  30  29  30  29  30  30  30  29  30 : 355
1795 :  29  30* 29  30  29  30  29  30  29  30  30  30 : 384(29)
1796 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
1797 :  30  29  30  29  30  29* 29  30  29  30  30  30 : 384(29)
1798 :  29  30  30  29  29  30  29  29  30  29  30  30 : 354
1799 :  29  30  30  29  30  29  30  29  30  29  29  30 : 354
1800 :  30  29  30  30* 30  29  30  29  30  29  30  29 : 384(29)
1801 :  29  30  30  29  30  29  30  30  29  30  29  30 : 355
1802 :  29  29  30  29  30  29  30  30  30  29  30  29 : 354
1803 :  30  29* 30  29  30  29  30  30  29  30  30  29 : 384(29)
1804 :  30  29  29  30  29  29  30  30  29  30  30  30 : 355
